,class,tweet
11243,1,feel like listen
11245,1,says dumb people think smell lol
11253,1,white social justice warriors getting wrong
11263,1,forget per megyn kelly jesus santa also white
11266,1,white crowd turned back black basketball team high school game
11271,1,global may lose folks understand
11281,1,dear change words tell aicle people sick
11288,1,surprise adam saleh
11294,1,porn video smoking porn fetish
11303,1,says president elect calls americans enemies
11308,1,might libtard
11320,1,white flight derek black
11331,1,outraged emoji update dare fat woman fat man saying women get fat
11340,1,waiter black fuck sakes stop looking fucking every rock
11341,1,joking matter officers fired joke target practice neighborhoods
11345,1,dear please give us multi racial objective list prove
11355,1,hitler called
11363,1,dull british
11375,1,reagan convinced ksa flood market drive oil prices historic lows
11393,1,hear kurds free equal citizens like state mouthpiece journo claimed
11408,1,stop bullying stop racism everyone stand say wrong treat everyone respect
11422,1,im
11423,1,sick liberals thinking ok dictate think israeli jews allowed live including
11426,1,one denied civil rights religion
11432,1,apologists like doubletree hilton
11438,1,many toy adves show narrow limiting study warns
11443,1,stirs anti jewish hate twitter progressives
11458,1,many us find obama policies repugnant make us liberal
11469,1,rode journalists integrity greed ambition along total absence courage
11478,1,crazed woman launched sick attack muslim cab driver fare
11515,1,latest indigenous remote daily thanks
11520,1,presidents policy israeli settlements obama slammed treacherous anti semite
11577,1,need aicles like positive narratives
11595,1,restricted duty like straght jacket padded room look
11604,1,vandalised condemns act
11611,1,trump ally wishes mad cow disease death obama
11618,1,immigration years white nationalist leader unloads horrifying hopes america
11621,1,alt right promote new kind genetics mt
11637,1,washington post editorial calling racism name salt lake tribune
11641,1,woh reading joseph boyden reinforced systemic oppression first nations
11673,1,disgusting
11693,1,please stop offended culture madness
11697,1,agree hard believe given strident opposition ordination women
11719,1,forgot vetting people terrorist dumb
11721,1,originally meant white landholding males
11722,1,sadly call enemies majority americans
11751,1,ironies inherent experiences living working
11760,1,please stop calling canada iconic dept store nothing iconic suppoing
11791,1,smoke old year new year time marijuana unleashed ibooks
11792,1,small brains close eyes vote
11801,1,everyone please pound comment great
11804,1,qualifications trc professor bozzoli
11830,1,sea shepherd suppoers racist
11832,1,black judge quietly removed shooting trial little explanation
11852,1,
11854,1,president jimmy caer leaving religion due
11869,1,christmas eve christmas adam towards men feminism
11884,1,nothing would dangerous give impression accept
11943,1,might libtard
11985,1,creature eah w girls
12001,1,lovecraft country stars appropriate also funny
12007,1,green book sundown towns guide reminder faced travellers
12046,1,thats r u racist
12053,1,e scraps controversial series
12056,1,hours walking woman
12064,1,racist austin police ofc cameron staff
12067,1,far right showing euro values
12110,1,paying attention past year years
12112,1,empress regnant distant prospect japan despite gender equality law
12129,1,ark man discoved racist graffiti car quick errand
12133,1,lt feeding public trough piggy
12148,1,alt right euro conservatism
12149,1,evil jew jew controlled media never never cite non white
12175,1,said tweeted
12189,1,surprised news outlets call opposition race mix ad hate racism though
12195,1,past yrs
12205,1,hatred person
12206,1,even transition team wants deal carl comments obamas vanity fair
12213,1,free sticker stop sexism
12230,1,stop w look inside
12238,1,message god loves people color hate preach hate
12254,1,everything wrong embodied hostility
12300,1,black trump suppoer smacks cnn repoer race baiting
12305,1,agree
12306,1,carl paladino needs lose school board seat disgusting
12315,1,oh fuuuuuuuuuuuuck right
12336,1,care follow cover
12343,1,thought factory left right polarisation
12347,1,feel like stomping listen
12361,1,thought factory left right polarisation
12365,1,white people rest us
12381,1,might libtard
12406,1,new new new new new order new tweets new new kids block new
12407,1,stay course never win dinosaurs belongs us go back
12470,1,beyond get id myth
12515,1,islam racism
12560,1,arrests police civilian encounters per yr us shootings accidents abuse extremely rare
12585,1,trumps associates classy bunch
12611,1,might libtard
12628,1,man comes last race declared winner
12671,1,might libtard
12676,1,jissus man pple wait festive period upset others rightfully outrage
12694,1,bogard joint friend marijuana unleashed ibooks
12700,1,marco rubio consideration close
12704,1,statement doubling media comments avoice
12705,1,extending hand uniting merica unprecedented
12707,1,libtard believe hate muslims suppo trump black woman damn slave
12716,1,end
12717,1,label said servant
12744,1,sorry ethnically cleansing east jerusalem bethlehem hey
12745,1,nothing would
12763,1,rambling alt right
12789,1,latest afl tattler thanks
12792,1,hip trendy scalds aches chronic chokes like smog ever present sees
12794,1,family horrible attack thyini thiza want
12825,1,women fair
12826,1,white good dark bad twisted version thatâ makes india racist people
12830,1,previous job every person response including
12835,1,pre ordered sounds really great book
12840,1,heard clip see quoted tweet props exposing views
12842,1,vs unabated thing killer cops
12843,1,say comments joke smth opinion think
12844,1,pay pay pay pay
12845,1,would question like considering age condition
12850,1,jonjo shelvey man ever racially abuse someone without saying anything
12894,1,amateur spanking vids women workplace
12917,1,ppl wait hrs karachi airpo miss connecting flights put flights hrs
12947,1,book enduring conviction fred korematsu quest
12967,1,coming
12979,1,stop calling met bbc got big work ahead
12986,1,thank sara unforgettable response appalling comments heabroken doctor
13009,1,new beginning getting rid good riddance pos
13022,1,lame duck lame dick
13026,1,irritations like new haters indisputably intrusively indecent imitations
13067,1,anybody says men exist tried buy disney looney toons themed men sizes cuts
13080,1,best think ever heard nicola sturgeon true
13085,1,might libtard
13102,1,guessing shiless man objectify shiless shiless woman
13114,1,white flight derek black
13132,1,told laws need
13185,1,sainsburys red stripe
13229,1,al capone jailed tax evasion murders committed achilles heel
13237,1,age information true ethnicity biblical people caused overlap
13249,1,surprised news outlets call opposition race mix ad hate racism though embrace ad sickening
13254,1,omg use word broad people agree w triggered
13276,1,michelle obama done
13278,1,great aicle truth needs comments back needed
13286,1,thought factory left right polarisation gt
13288,1,hear kurds free equal citizens like state mouthpiece journo claimed
13289,1,present stereotype
13306,1,rapacious hunger oil also sealed doom
13343,1,e push producers
13368,1,latest daily thanks
13425,1,sign checked bag iah every single time
13440,1,resolve form
13464,1,trophy always one educate
13468,1,sick pre programmed rhetoric enough already unity patriotism love
13473,1,jeff sessions omits decades records ag confirmation hearing hide
13476,1,white girl sex black guy nude newzeeland porns
13502,1,think would b protesting fit
13509,1,porn videos iran fucking girles
13536,1,much posts
13538,1,black girl porn teen virgin sex pictures
13547,1,ignored
13561,1,coming ultra like surprise surprise least play golf
13569,1,vandalised condemns act
13584,1,omg trump suppoers deplorable
13604,1,want us fight
13615,1,take action filthy plantation location manager disgraceful pos
13624,1,would promote hitting women condoning assault
13639,1,white girl sex black guy sexest women nude
13649,1,trump
13659,1,incredible content
13675,1,tell jokes
13681,1,told andrew jackson also
13703,1,surprise chosen mere basket racists though
13739,1,islamophobia serves empower extremists
13756,1,speaking steal jokes given men
13763,1,almost dad
13779,1,leave gweh longer debate
13785,1,todays donkey proud murdering real palestinian semitic children thats
13788,1,saying blacks criminals
13817,1,lds church stands knew
13818,1,fear root racism mostly fear ego acknowledge another human worse
13821,1,guess go back yelling
13827,1,rape land
13846,1,summer melted everything novel tiffany mcdaniel
13858,1,stop ating fathers son
13863,1,hey guys apparently white black people even whole slavery thing nice
13882,1,think awarded self centred
13890,1,officers fired target practice jokes
13899,1,might libtard
13909,1,ignored
13927,1,back open
13946,1,disgusting need released wild die mad cow disease
13960,1,porn videos sexy latinas vids
13964,1,male privilege huh yeah
13987,1,knee jerk reaction assume must isis
13989,1,sex videos fucking cross
13990,1,ignored
14008,1,dare speak rest canada b c one else dares b c massive racist bullying anyone gets
14024,1,gone far know never heard gone far
14049,1,perhaps would happier bit like hero
14051,1,thanks next four years forecasted worst hope plans
14054,1,might libtard
14064,1,seems escaped attention bashing whites winning elections dem seats lost
14080,1,telling white students deserve live reason die
14082,1,feel like listen
14107,1,disgusted watching defend career intelligence informing future gen laughable
14108,1,becoming ugly mt
14202,1,right wings members back
14219,1,protesting trump fuhered
14231,1,fucking nude nerd girls naked
14264,1,raison etre adl always incite means usher
14265,1,joseon people japan abuse claims rights rough demo
14270,1,explain actions netanyahu claim discrimination u others
14272,1,disgusting wohless pig human assuming human go play traffic
14286,1,ask really want follow done
14290,1,still
14297,1,might going hell surprised
14305,1,blessedt
14323,1,comment donation sucks
14325,1,constantly let lack fat male role models especially emojis
14335,1,interesting
14349,1,vandalised condemns act
14350,1,perhaps paladino feeling economic anxiety
14371,1,might libtard
14381,1,father great one brother following yeah married awesome
14397,1,nothing would dangerous give impression accept
14444,1,research played greatest role
14449,1,adam saleh racist
14459,1,might libtard
14470,1,really telling
14496,1,cop
14506,1,lisa likes cuckold write
14528,1,call us really saying
14530,1,trump cuck
14554,1,multiple types racism america
14565,1,team show combat
14577,1,todays donkey proud murdering real palestinian semitic children thats
14621,1,riyadh renowned deadliest traffic world
14638,1,white people black people brown people good evil color
14667,1,forever loyal city buffalo real class act
14699,1,farmer beaten land invasion crisis loteni area
14715,1,government allow behaviour
14741,1,trump frnds
14781,1,also free marry like live like
14813,1,american taxpayers also lost homes millions
14816,1,joseon people japan abuse claims rights rough demo
14817,1,still rooted society attitude towards black women hair read candide uyanze
14821,1,russian interference crosschecking voter suppression outdated system reflect
14835,1,call us really saying jealous us go go
14836,1,forget women misogynists
14865,1,montana says racism
14866,1,aist thwaed didnt want children constrained lines laid others
14878,1,movement
14893,1,vandals turned jewish family menorah swastika
14915,1,never thoughj experience never looked caucasians differently watch
14920,1,nothing would dangerous give impression accept
14921,1,america great without assholes
14932,1,appreciate randomly selected tsa airpo morning surly profiled
14939,1,let door hit way sorry ass mofo come back white dumbass
14964,1,uae hosts innovative architecture world
14965,1,meet wilmington peacekeepers walk beauty week actions
15005,1,get us war better send boys uday qusay first idiot fool sad
15011,1,commercial showing inter racial couple attacked suppoers
15015,1,video men women malay hot super sexy girls
15049,1,originally meant white landholding males
15061,1,wew know diff couples look guys
15062,1,must said voters guilty normalizing form racism morality moveable
15072,1,melania helping write speech end us title came great
15089,1,prison officers goaded inmates needed restrained pa game
15112,1,might libtard
15116,1,tis season co chair makes gorilla remark
15157,1,stop
15158,1,everyone blamed black brown communities crack blame
15180,1,black hair comes different styles slavery colonialism policing
15183,1,thing community experienced white gay men
15191,1,tyler perry says backlash tlc show reverse racism new york daily news
15206,1,term jihad highly contested concept
15207,1,vandals turn jewish home menorah
15242,1,forget research shows sexist men psychological problems
15256,1,latest daily thanks
15305,1,keep words use
15314,1,ha good riddance
15325,1,advocate kumbaya world like semitism motivate us single purpose intellectual competitiveness
15329,1,defending woman condescension turn defending woman verbally assailed
15335,1,anyone right question foreign parentage mccain questioned accused democrats
15340,1,like religion islam strong unifying force
15359,1,saw vid dude spoke got thrown
15362,1,injustice inflame protests ash
15380,1,times grave danger dissent recast treason unchained intolerance march
15386,1,hand championed conservatives right
15404,1,thought factory bbc neutrality right wing fascism
15435,1,vandalised condemns act
15463,1,someone say gee bit triggered eh
15466,1,might libtard
15469,1,revolution marx expected
15470,1,feel like listen
15512,1,racism cease white priviledge must beast god help us
15518,1,seems escaped attention bashing whites winning elections dem seats lost
15522,1,thank comrade erica avenue making stop find doesnt hire indian domestics
15523,1,white skinned woman unfair experience india
15525,1,clear crisis country read
15539,1,allow defile church
15562,1,biopolitics desire neo nazi fashion
15570,1,thinks notice redacts decades ove application ag confirmation
15572,1,job
15583,1,every lactation consultant ever met woman hello
15609,1,men created equal believe stop saying hube humphrey
15624,1,trump real estate buddy carl paladino wishes obama dead mad cow disease
15632,1,allies r unstoppable
15634,1,guy look like brother first wife found w another man sex documented
15641,1,riyadh renowned deadliest traffic world
15694,1,man comes last race declared winner
15722,1,non racist white minority serve military power
15740,1,term jihad highly contested concept
15742,1,excited man attacked cat opening present cat repping trump yo
15745,1,millennials shocked quotes think theyre
15768,1,trump ny co chair want obama die mad cow disease michelle go back male
15790,1,share steps take stop racist attack intervene berating bully
15854,1,feel stomping listen
15859,1,progressives r ppl self hating lazy racists would
15879,1,oops mean publicly post comments
15884,1,know real niggers fake niggers uppity niggers get deleted life sho bs
15885,1,victim adam saleh refers black people abeed slaves one sketches
15903,1,alt right site plans fake black person twitter campaign
15924,1,nothing would dangerous give impression accept
15930,1,broader phenomenon reemergence intellectual discourse
15972,1,safe place blacks country people like
15974,1,feel like stomping listen
15985,1,know ref ref accepting
16001,1,vandalised condemns act
16018,1,azealia jimmy mcmillan james david manning
16049,1,lmfao non white people system
16054,1,comment reveals disgusting reality circle
16058,1,hey carl paladino looks like fired
16082,1,
16086,1,white fragility hard talk white people
16102,1,agree w much way win w
16151,1,good place sta learning abt one person
16172,1,hey ivanka bracelet feel good profiting
16173,1,cud wud
16178,1,want read
16189,1,joe biden want thank trump unmasking america
16191,1,congressman hangs picture capitol volunteer
16222,1,problem space alternative explanations
16227,1,different color skin
16237,1,stupid idea fascist destroy gone far terrorist
16244,1,pa mil rejected business must
16257,1,fuck donald trump never president
16264,1,protesting trump fuhered
16268,1,amendment discussed thanks
16273,1,resigned today chaer school
16293,1,young relevant read women journalism
16332,1,giant version flapping
16356,1,italian fascist needs lobotomy wish perhaps realize yes carl
16387,1,put big girl panties pandy asses
16399,1,america racist plethora reasons someone like obama ignorant many
16414,1,ag pick jeff sessions scrubs racism record even tho argued felony
16446,1,happened far often
16449,1,one infamous maneuver affectionately baptized
16467,1,nope still struggling see either observation
16509,1,everytime wear soccer shis joie fries says look mexican fuck
16512,1,holiday fun socially relevant celebrates bewitched xmas ep
16522,1,white people rest us
16551,1,presidents policy israeli settlements obama slammed treacherous anti semite
16559,1,might libtard
16560,1,feel like stomping listen
16573,1,feel like stomping listen
16603,1,made vile remarks must go
16621,1,rape land
16638,1,remark racist even uttered wife involved anything
16645,1,carl paladino former trump campaign official
16652,1,snatch wig james brown head get
16656,1,time end days lives live shyan selah
16666,1,cutsie logic wrong know construction build bridges walls give trump chance hate
16668,1,cold war fought oil
16680,1,coming country women stoned entered pro
16705,1,yup concur nearly million voters
16712,1,remake hi token asian chick
16714,1,thoughts female fighters dolled promotions
16722,1,welcome looks like going full batshit dumb
16733,1,man kills stepmom celebrating win
16735,1,black genius v white supremacy missing action taught lesson
16741,1,nonsensical hate filled word salad w b funny sad
16755,1,listen discuss boys engage
16768,1,ever
16782,1,omits decades records ag confirmation hearing
16799,1,talking phone thug think oh
16803,1,think cultures separate distinct one another
16808,1,nothing celebrate
16810,1,donald putin butt buddy commie
16818,1,gonna steal shit least common couesy steal right
16825,1,another position authority got go
16847,1,miss miriam herschlag blog haim yavin ass
16855,1,racism muslim societies dr eren tasar
16871,1,please school board
16876,1,factophobia ale people whose use following words
16905,1,ashamed person fellow
16924,1,seems like ignoring reality dividing weakening
16931,1,one mil rejected fly flag half mast jan
16933,1,might libtard
16972,1,want lesson imagine kids different women bragged grabbing pussies
17013,1,racist schools teaching students whiteness problem
17016,1,enough say
17036,1,wtf rant inveed aussie flag w muslim
17040,1,islam racism press tv
17051,1,might libtard
17067,1,obama jarretts agenda destroy everything good country inflict even bit hate
17083,1,good morning bud breakfast marijuana unleashed ibooks
17103,1,please impoant issue needs discussed
17116,1,today
17137,1,pay porn free video jokes women
17150,1,trump trumps love mustfall
17156,1,asked sales assistants heard quickly copped hmm surprised said
17174,1,feel like stomping listen
17180,1,wow real times back day great talk
17208,1,still alive black man forced coffin white south africans
17269,1,please video sparks outrage white officer arrested black mother littering argument
17280,1,like stomping listen
17315,1,anyone listened words seventies classic
17317,1,insults get tl jew hating piece shit
17323,1,racism home anti advice others good
17336,1,sea shepherd suppoers racist
17408,1,uk expressed photo
17415,1,u take king win chess queen
17423,1,peek come back holier moi
17434,1,virginia kkk leader racist misunderstood christians
17453,1,msg business end
17490,1,video censored youtube hate speech enjoy
17511,1,kicking acting slutty every time one bats lid men
17512,1,subjected fought back hard
17525,1,vandalised condemns act
17584,1,country argues different shades black
17587,1,great speech war veteran
17608,1,ugly lady
17618,1,new video super mario run sexist
17621,1,harsh even post times next charity called send
17635,1,black dad puts baby mama blast takes biracial daughter get braids
17651,1,racists never ceased rant
17689,1,goes without saying
17705,1,term jihad highly contested concept
17708,1,ignored
17749,1,hidden rampant blatant racism
17762,1,reel letting girls first massive queue guys
17763,1,along make go hell
17782,1,prohibition sta
17823,1,feel like stomping listen
17844,1,neoliberalism prioritized money oil pretty much everything else
17857,1,thought factory left right polarisation
17918,1,latest zurich times
17926,1,negro good allowed go servant eternity according
17937,1,giant version flapping
17963,1,bout play game lol
18034,1,shocker funded causes matter r ok criticism policies ok
18079,1,rally organiser shown laughing death footage
18109,1,ignored
18111,1,illegal show photos women legal write comments
18119,1,black brown women intersectional means see bus get thrown
18132,1,cleveland police union overwhelmingly endorses trump president kkk love
18137,1,difference jew pizza pizza scream oven jokes
18144,1,joseon people japan abuse claims rights rough demo
18147,1,axed comments celebrity
18156,1,hole extraordinaire guy hero course wishes obama
18176,1,culture wars means
18188,1,defunding aboion sending
18190,1,wanna mock country b c pt b c
18199,1,board seeks oust member jabs
18201,1,victim cant victimise oppressor economic power black people racist
18205,1,japanese whaling
18206,1,rise today stories police brutality
18231,1,fucking di bag
18232,1,intercourse video men women japanese armpit hairly nude picture
18238,1,republican trump buddy rabid racist figure wrong w saying violently hateful things
18245,1,wow worried bout moving reversed would called
18267,1,word factory race denial prevents healing
18281,1,salt lake tech workers experience least racism survey says deseret news
18282,1,might libtard
18315,1,might libtard
18352,1,police horribly hyper violent raids
18366,1,one powerful picture takes great humanity kindness save life someone hates
18392,1,haha really great
18412,1,time end days lives live shyan selah
18416,1,westerners islamophobes
18435,1,metrics ya cowboy stop
18460,1,boss fired due alleged told hated everyone honestly much committed want
18464,1,fuck donald trump never president
18487,1,would hope imagine anyone educated actively utterly amoral voting though
18493,1,feel like stomping listen
18497,1,content harm
18505,1,true wife sex stories chick gets fucked
18538,1,cop
18544,1,time evil men
18549,1,arc week mon pm sliding scale
18555,1,ohhhh people really think relationship opt
18600,1,racism resource development political stories inuit watched
18617,1,yup concur nearly million voters
18629,1,feel like stomping listen
18635,1,jessica want christmas bdsm
18637,1,terry bradshaw george karl least insensitive remarks racist melo mike tomlin trump emboldened
18651,1,presenter asian woman edinburgh brings asian woman live
18661,1,ignored
18682,1,arrive salut sharp suit
18746,1,almost always trust brazilians
18747,1,sound looks fall back unlike good luck
18785,1,collection coverage women related issues
18817,1,feel like stomping listen
18818,1,uk new semitism definition conflates valid criticism opendemocracy
18837,1,president jimmy caer leaving religion due
18838,1,one requirement job us president male
18855,1,pa trumps tweets coulda wanted using putin project anger cuz hate
18858,1,thought assistants
18875,1,based recent commercials state farm old navy omarosa choice clearly
18885,1,impossible hateful someones skin color social status gender believe
18918,1,reject news
18936,1,whiter kevin federline
18950,1,racism home anti advice others good
18952,1,silveragatka screenshot share snaps michaelacoel impoant message
18954,1,subjected fought back hard
18962,1,thought factory left right polarisation gt
18968,1,latest eu daily thanks
18987,1,might libtard
19000,1,hitler fought battle noh africa access oil
19004,1,new
19016,1,wish family let work together remove world
19028,1,sexy cora porn black girl porn
19033,1,non racist white minority serve military power
19051,1,sea shepherd suppoers racist
19056,1,sad much hatred towards jews eu xians remember xians kenya
19072,1,recent criminal negligence authorities health detention staff caused death
19093,1,men moto sale women
19095,1,hate
19115,1,feel like listen
19122,1,black upenn freshmen added racist social media account calendar
19145,1,university stands
19155,1,hot new release swiftly sharpens fang
19161,1,would take avitar projecting n
19165,1,joke tired acting like leaving also move
19179,1,see driver talking africans speak english fluently got
19197,1,course person would open educating self systemic
19203,1,spos illustrated girls naked sex videos
19210,1,say make mediocre videos way flattering though
19220,1,us consumers hold media accountable
19224,1,quotes women kingfisher girls xxx
19234,1,main stream news media like busily covering small hand misogynist notice
19280,1,dear please define intend
19292,1,would believe accusations regarding father
19311,1,racist would segregate people like
19313,1,mixed race couples still face australia
19326,1,kind expect amrica
19334,1,vandalised condemns act
19338,1,wish black could lots feminists shut
19352,1,invited help actions sept
19368,1,like religions islam strong unifying force
19385,1,white girl sex black guy best world sex
19387,1,jewish kwanza jehovas witness
19396,1,commercial showing inter racial couple attacked suppoers
19401,1,morgan freeman responded asked solve racism
19406,1,sick pre programmed rhetoric enough already unity patriotism love
19417,1,saying would let guy fall ground get wailed seconds calling fight
19431,1,fired thinks choking child wrongful arrest parent acceptable
19457,1,calls middle school build wall chant
19490,1,save date sourcenation live wed
19492,1,might libtard
19495,1,prolapsed pussy women
19516,1,men think issue way white people think issue try listening
19524,1,vandalised condemns act
19541,1,think one love
19557,1,girls world natt chanapa nu sex fuck
19558,1,expose mean nothing expose racist say waiting
19573,1,feel like stomping listen
19589,1,type trash trump paladino attract
19590,1,keep conversations going school home need create space time commit help
19612,1,mean guy
19623,1,fall going thing wonder
19626,1,trump campaign official wants michelle obama live african apes
19638,1,review shows church response politics mercy
19651,1,oh god triggered
19658,1,ppl wait hrs airpo miss connecting flights put flights hrs later
19677,1,vital address porn influence discussing sexual abuse demeaning language women
19705,1,stop lying years anti semitic hate group
19732,1,homicides rose big cities year wall street journal
19744,1,keeps telling see every
19745,1,ohio trump campaign chair kathy miller said hear
19777,1,already happening given reasons jolly
19779,1,ed op racist enough
19807,1,deaths caused islamic extremism occur civil wars terror attacks
19819,1,lolol leb either
19832,1,racist truth canadian immigration
19836,1,u lose ur right call others racist tweet like hypocrite
19857,1,stupid mf discredit white privilege dummies texas law allows choking kids
19891,1,w props white promote need called vile scum
19896,1,great country
19912,1,jews christians muslims believe good prevail
19916,1,black racist seen white woman acts get way perfect
19931,1,sexist slant media representation women needs change
19937,1,reject news latest aicle
19949,1,reson many muslims might
19966,1,says president elect calls americans enemies
19975,1,da blm
19987,1,live country many think first lady less vulgar black first lady
19994,1,latest cognizant blogger thanks
20013,1,basically sums means
20021,1,balls lumpy girl spot lumpy tony says prove lumpy bwahahahahaha
20033,1,wonderful see intelligent woman stand ground condescending jerk
20035,1,bodies equal
20045,1,white nationalist leader reveals horrifying hopes
20048,1,ally wishes mad cow disease death cnn
20057,1,ever think call names true
20060,1,racist democrats falsely accuse latina nominee raid business embarrass gop prez
20063,1,trump media normalizing alternet
20064,1,immature trying make fool
20085,1,right idea deal
20092,1,injustice inflame protests ash
20121,1,comments obamas make late contender loathsome character
20136,1,guess white women blame work
20138,1,ouch woow
20161,1,ignored
20214,1,new law makes acceptable clip racist cab drivers round ear
20219,1,could impossible real acts racism easier stand unfounately
20222,1,case commonwealth internet vs evidence proved guilty
20259,1,stop
20263,1,go girl
20269,1,went video
20277,1,video shows white texas cop arresting black mother repoed assault son
20283,1,comedy comedians
20289,1,next klan meeting
20294,1,pros cons marrying irishman omg sexist aicle men add ongoing
20322,1,repeat concept talk
20323,1,fuck may fooled majority
20361,1,service look back ur bible biblical events took place jesus disciples r ppl color
20380,1,nick cannon speaks systemic
20412,1,please repo
20419,1,learned men find breast feeding repulsive fathers makes sense whatsoever
20423,1,either call eyetalian joke nationality
20427,1,comments mrs obama offensive fuher confirm racist jackass
20434,1,might libtard
20464,1,delta fire youtube prankster removed flight speaking arabic
20501,1,ending smoking reefers going crazy listening negro music eat mr anslinger
20521,1,awesome black man gets kkk members disavow befriending
20541,1,boys play sex womens
20553,1,opinion rife community people demand equality discriminating
20575,1,look like year olds posting dictionary definitions acting proved point
20628,1,porn videos free nude beach photo
20640,1,tyler perry says backlash tlc show reverse racism
20651,1,might libtard
20654,1,might going hell surprised
20667,1,vedic astrology predictions us president donald trump
20668,1,trump proven words
20675,1,f government deliberately toures coronial inquest death
20732,1,go fuck yo assholes dumb mafuckas
20746,1,reality tech industry made regular ass people
20776,1,whores ring fire
20787,1,deaths caused islamic extremism occur civil wars terror attacks
20801,1,remember camber sands deaths blamed victims culture council
20803,1,breathes wave maybe need
20813,1,tale
20819,1,work owned garbage person
20828,1,monster law made republican lawmakers disenfranchised black voters near surgical precision
20887,1,vandalised condemns act
20912,1,crazy things women
20915,1,wish list cretin election co chairman mr
20971,1,areclueless buddy regarding long standing american policy comments reflections ignorance
20977,1,ya real winner
20982,1,woman gets shagged black man adult riders
20983,1,revolution racism humanity
20993,1,defeat ugly prejudice
21031,1,great aicle
21033,1,typical lying thats slander grp dont kill
21043,1,west vs popular sequel capitalism vs communism
21121,1,ambassador says form
21122,1,f government deliberately toures coronial inquest death business usual
21155,1,major kind people talking enough
21161,1,kick flight spoke arabic
21177,1,attack fellow real enemy laughs gates
21185,1,way man allowed become attorney general
21190,1,alabama victoria secret shoppers face racial discrimination video
21194,1,vandalised condemns act
21205,1,feel like stomping listen
21217,1,chick gets fucked c thomas howell naked
21241,1,new black panthers recently chant free us die cracker f ck pigs
21255,1,jews christians muslims believe good prevail cnn
21256,1,pulled chain sob
21283,1,guy lunatic angry ignorant vicious man
21284,1,fl woman screaming racial slurs aims laser pointer black customer
21294,1,silence betrays innocent
21301,1,joe biden want thank trump unmasking america
21317,1,ad
21319,1,wonderful year craving hand
21344,1,obama joins jackals ass america miss obama realize trump nothing
21350,1,preach
21363,1,boob camron diaz naked pics
21365,1,real minions freedom loving americans
21366,1,grows uk
21367,1,might libtard
21368,1,latest seattle daily thanks
21385,1,man comes last race declared winner
21388,1,alt right promote new kind genetics mt
21394,1,ends hopeful message music industry
21430,1,many actually believe chance w helm
21440,1,scapelliti woobietuesday blocked troll promise
21442,1,advanced value chain videos
21451,1,yrs endless lies contempt left activist u realize clarity never came clean w
21477,1,see instrumental promoting false narrative abetting divisive blm agenda
21485,1,proud mayor like isnt afraid speak truth yes completely
21527,1,comments spark calls
21540,1,feeling mutual islamophobia enablin
21550,1,jews christians muslims believe good prevail cnn
21555,1,black lives matter except mine apparently patience watch way
21592,1,insane acts trample national flag nation clearly
21602,1,ny cunt campaign co chair unleashes wish list
21615,1,going call balls put hashtag onto
21621,1,everyone ask endorse blatant
21622,1,free girls pic galery girls fucked
21624,1,appeal horrific attack
21647,1,really think exaggeration keep sharing every time comes back around vote
21649,1,marx revolution expected
21654,1,hey chinese communists well oh white right see
21658,1,save date sourcenation live wed
21670,1,get low key play trump foolish request change judges got wall wall coverage
21691,1,essential reading someone follow
21699,1,donkey proud murdering real palestinian semitic children thats call
21705,1,rags spread propaganda fear hatred
21726,1,note able pop zit neck days beensqueezing days
21757,1,green book sundown towns guide reminder faced travellers
21767,1,lee atwater caught n tape explains southern strategy reagan cabinet
21769,1,ever notice much scum hires
21792,1,delete account shallow go away
21801,1,stellar year
21813,1,greed killing planet human race
21849,1,demonstrated disrespect yrs gop feigned outrage full excrement
21874,1,need reappraise victimhood
21877,1,sunday kot playing mind games blasting neighbors music intermittently
21913,1,anyone expect
21934,1,effo logic point w especially
21940,1,ag pick jeff sessions scrubs racism record even tho argued felony
21956,1,think saying good videos got
21964,1,hope guy say come trump gets speak mind people enough pc already
21991,1,mma fans losses matter mma fans rr lost twice trash
22000,1,ya prince charles issued veiled warning return dark days
22010,1,would best thing done yet
22031,1,e pulls controversial reality show kkk learning producers paid hate group members
22046,1,must stand together brothers sisters
22051,1,quick zille comments noting black racists
22058,1,racist austin police ofc cameron staff
22064,1,unamerican
22067,1,racism america kill obama muslims welcome signs new mexico draw criticism
22078,1,course liberals see everywhere looking world racist eyes
22085,1,sea shepherd suppoers racist
22093,1,kitazatoshibasaburo found tetanusimmunization colleague kitazato didnot nobelprize colleague white
22094,1,obviously gets maybe two seconds boarding thinks knows
22119,1,american taxpayers also lost homes millions
22140,1,listening sam cooke ridiculously packed pavillion help keep calm
22146,1,obama destructive president history legend
22166,1,nutshell
22178,1,lesson history choose carefully main l king malcolm x reconciliation vengeance
22195,1,like stomping listen
22196,1,really shitty headline change
22216,1,every trump suppoer racist every racist trump suppoer irrefutable truism must never tolerated
22217,1,familiar become difficult stereotype
22228,1,typical riding machine sic
22236,1,relied protection keep ego used
22249,1,apparently taragon christmassy herb
22254,1,wow blogging
22264,1,latest daily thanks
22272,1,running bitches
22279,1,bjork wrote powerful essay applauding
22285,1,thought factory left right polarisation
22320,1,end
22330,1,believe one cottoned saying song white christmas
22335,1,joy world instead
22342,1,nothing would dangerous give impression accept
22346,1,fake activist
22347,1,university stands
22351,1,copy hot new swiftly sharpens fang
22359,1,got done threatening coworker give money says black male illegal smh
